School Name,School Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,year,Nonbinary,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Economically Disadvantaged#,Economically Disadvantaged%,Students with Disabilities#,Students with Disabilities%,Low Income#,Low Income%,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,Tests Taken,Reading / Writing,Writing,Math
Boston - The English High,00350535,   0.2,   0.9,  36.4,  58.1,   1.2,   0.2,   3.0,  44.2,  55.7,2020,   0.2,     452,  87.3,     187,  36.1,     287,  55.4,     380,  73.4,     129,  24.9,,,122,36,29.5,0,11.1,72.2,16.7,72.2,5.6,11.1,       143,    81.8,     9.1,     0.0,     0.7,     8.4,     0.0,      66,403,,409
Boston - Thomas J Kenny,00350328,   0.7,  10.8,  34.1,  25.0,   5.4,   0.0,  24.0,  45.6,  54.4,2020,   0.0,     239,  70.5,      73,  21.5,      93,  27.4,     197,  58.1,      90,  26.5,,,,,,,,,,,,,,,,,,,,,,,
Boston - UP Academy Holland,00350167,   0.7,   3.4,  48.7,  43.1,   2.5,   0.4,   1.2,  51.6,  48.4,2020,   0.0,     618,  91.7,     226,  33.5,     301,  44.7,     567,  84.1,      88,  13.1,,,,,,,,,,,,,,,,,,,,,,,
Boston - Urban Science Academy,00350579,   0.0,   0.0,  51.3,  46.2,   0.0,   0.0,   2.6,  43.6,  56.4,2020,   0.0,,,,,,,,,,,,,,,,,,,,,,,        44,    79.5,     0.0,     0.0,     0.0,    18.2,     2.3,,,,
Boston - Warren-Prescott,00350346,   0.0,   4.0,  11.9,  21.9,   6.1,   0.0,  56.1,  49.3,  50.7,2020,   0.0,     300,  54.7,      60,  10.9,     111,  20.3,     232,  42.3,     115,  21.0,,,,,,,,,,,,,,,,,,,,,,,
Boston - Washington Irving Middle,00350445,   0.4,   0.8,  43.4,  46.7,   2.9,   0.0,   5.7,  49.6,  50.4,2020,   0.0,     165,  89.7,      52,  28.3,      81,  44.0,     134,  72.8,      80,  43.5,,,,,,,,,,,,,,,,,,,,,,,
Boston - West Roxbury Academy,00350658,   0.0,   0.0,  57.1,  32.1,   3.6,   0.0,   7.1,  50.0,  50.0,2020,   0.0,,,,,,,,,,,,,,,,,,,,,,,        44,    59.1,     0.0,     0.0,     4.5,    36.4,     0.0,,,,
Boston - William E Russell,00350366,   0.3,  11.5,  26.5,  56.4,   2.6,   0.5,   2.1,  47.8,  52.2,2020,   0.0,     331,  90.7,     199,  54.5,     242,  66.3,     264,  72.3,      32,   8.8,,,,,,,,,,,,,,,,,,,,,,,
Boston - William Ellery Channing,00350360,   0.0,   2.2,  42.6,  43.9,   2.7,   0.4,   8.1,  43.9,  56.1,2020,   0.0,     176,  81.9,      54,  25.1,      72,  33.5,     147,  68.4,      35,  16.3,,,,,,,,,,,,,,,,,,,,,,,
Boston - William H Ohrenberger,00350258,   0.0,   3.8,  29.5,  37.7,   4.0,   0.0,  24.9,  48.2,  51.8,2020,   0.0,     390,  72.2,     142,  26.3,     212,  39.3,     295,  54.6,     131,  24.3,,,,,,,,,,,,,,,,,,,,,,,
Boston - William McKinley,00350363,   0.6,   1.6,  44.2,  42.6,   3.1,   0.0,   7.8,  23.5,  76.5,2020,   0.0,     267, 100.0,      57,  21.3,      76,  28.5,     233,  87.3,     265,  99.3,,,40,5,12.5,0,20,80,0,80,0,0,        52,    23.1,    44.2,     0.0,     1.9,    30.8,     0.0,,,,
Boston - William Monroe Trotter,00350370,   0.5,   0.5,  56.3,  37.0,   3.7,   1.2,   0.9,  49.3,  50.7,2020,   0.0,     330,  86.8,      49,  12.9,      89,  23.4,     310,  81.6,      64,  16.8,,,,,,,,,,,,,,,,,,,,,,,
Boston - Winship Elementary,00350374,   0.0,  17.1,  15.0,  33.3,   7.9,   0.0,  26.7,  52.9,  47.1,2020,   0.0,     171,  75.3,      71,  31.3,     105,  46.3,     124,  54.6,      29,  12.8,,,,,,,,,,,,,,,,,,,,,,,
Boston - Young Achievers,00350380,   0.2,   0.2,  48.0,  49.2,   2.0,   0.0,   0.5,  47.7,  52.3,2020,   0.0,     504,  90.3,     173,  31.0,     221,  39.6,     459,  82.3,     129,  23.1,,,,,,,,,,,,,,,,,,,,,,,
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,   0.3,   1.7,  32.6,  18.2,   2.7,   0.0,  44.4,  49.8,  50.2,2020,   0.0,     380,  52.6,      32,   4.4,      92,  12.7,     280,  38.7,     115,  15.9,,,69,51,73.9,2,54.9,9.8,33.3,7.8,7.8,19.6,        63,    88.9,    11.1,     0.0,     0.0,     0.0,     0.0,      64,498,,511
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,04240505,   1.0,   1.0,  48.1,  42.8,   1.4,   0.0,   5.8,  49.0,  50.7,2020,   0.2,     299,  84.0,      57,  16.0,     131,  36.8,     254,  71.3,     135,  37.9,,,27,11,40.7,0,36.4,36.4,27.3,36.4,0,27.3,       150,     6.0,    63.3,     0.0,     0.7,    30.0,     0.0,       5,,,
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,04110305,   0.2,   1.6,  43.0,  44.4,   2.8,   0.4,   7.6,  49.0,  51.0,2020,   0.0,     424,  83.3,      86,  16.9,     185,  36.3,     367,  72.1,     169,  33.2,,,71,41,57.7,0,39,34.1,26.8,34.1,7.3,17.1,        77,    80.5,     9.1,     1.3,     0.0,     9.1,     0.0,      32,430,,445
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,04160305,   0.2,   0.5,  66.6,  27.4,   3.1,   0.2,   2.1,  49.4,  50.6,2020,   0.0,     531,  79.1,     129,  19.2,     227,  33.8,     405,  60.4,     136,  20.3,,,66,51,77.3,0,45.1,13.7,41.2,13.7,17.6,21.6,        48,    89.6,    10.4,     0.0,     0.0,     0.0,     0.0,      79,448,,474
Boston Renaissance Charter Public (District) - Boston Renaissance Charter Public School,04810550,   0.1,   0.2,  62.9,  31.6,   3.7,   0.0,   1.5,  52.7,  47.3,2020,   0.0,     668,  70.8,     109,  11.6,     251,  26.6,     587,  62.2,     100,  10.6,,,,,,,,,,,,,,,,,,,,,,,
Bourne - Bourne High School,00360505,   0.7,   2.8,   1.1,   4.8,   2.8,   0.2,  87.6,  56.8,  43.2,2020,   0.0,     145,  33.9,       5,   1.2,      10,   2.3,     105,  24.5,      62,  14.5,,,115,74,64.3,0,32.4,24.3,43.2,24.3,14.9,17.6,       136,    89.7,     4.4,     0.0,     0.0,     5.9,     0.0,      91,527,,506
Bourne - Bourne Intermediate School,00360030,   0.4,   0.8,   2.1,   7.2,   3.2,   0.4,  85.9,  52.3,  47.7,2020,   0.0,     188,  44.3,       5,   1.2,       5,   1.2,     144,  34.0,      80,  18.9,,,,,,,,,,,,,,,,,,,,,,,
Bourne - Bourne Middle School,00360325,   2.0,   1.6,   2.0,   5.7,   2.9,   0.0,  85.9,  49.1,  50.9,2020,   0.0,     189,  41.1,       3,   0.7,       5,   1.1,     143,  31.1,      83,  18.0,,,,,,,,,,,,,,,,,,,,,,,
Bourne - Bournedale Elementary School,00360005,   0.4,   1.7,   1.7,   5.9,   4.3,   0.0,  85.9,  49.9,  50.1,2020,   0.0,     157,  46.4,       4,   1.2,      12,   3.6,     114,  33.7,      65,  19.2,,,,,,,,,,,,,,,,,,,,,,,
Boxford - Harry Lee Cole,00380005,   0.0,   2.2,   0.0,   3.7,   6.8,   0.0,  87.3,  48.3,  51.7,2020,   0.0,      62,  21.4,       7,   2.4,       7,   2.4,      19,   6.6,      44,  15.2,,,,,,,,,,,,,,,,,,,,,,,
Boxford - Spofford Pond,00380013,   0.2,   5.2,   0.9,   2.6,   5.9,   0.0,  85.1,  46.7,  53.3,2020,   0.0,     105,  27.0,       2,   0.5,       4,   1.0,      31,   8.0,      80,  20.6,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Archie T Morrison,00400033,   0.2,  17.0,   8.9,   5.4,   1.5,   0.0,  66.9,  50.4,  49.6,2020,   0.0,     157,  48.5,      36,  11.1,      69,  21.3,     107,  33.0,      47,  14.5,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Braintree High,00400505,   0.0,  19.4,   4.7,   4.5,   1.7,   0.2,  69.5,  50.5,  49.5,2020,   0.1,     691,  40.0,      66,   3.8,     265,  15.4,     387,  22.4,     371,  21.5,,,418,337,80.6,0,41.8,12.2,46,11,11,21.1,       433,    94.5,     1.4,     1.6,     0.2,     2.3,     0.0,     526,557,,570
Braintree - Donald Ross,00400050,   0.0,  24.4,   6.2,   5.4,   1.9,   0.0,  62.0,  47.3,  52.7,2020,   0.0,     107,  42.1,      45,  17.7,      87,  34.3,      64,  25.2,      19,   7.5,,,,,,,,,,,,,,,,,,,,,,,
Braintree - East Middle School,00400305,   0.0,  20.9,   7.7,   6.5,   0.9,   0.1,  63.8,  49.0,  51.0,2020,   0.0,     475,  47.3,      40,   4.0,     233,  23.2,     283,  28.2,     190,  18.9,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Highlands,00400015,   0.5,  21.3,   2.2,   2.6,   1.0,   0.0,  72.5,  49.0,  51.0,2020,   0.0,     120,  30.4,      26,   6.6,      52,  13.2,      50,  12.7,      65,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Hollis,00400005,   0.2,  24.3,   1.1,   4.8,   2.5,   0.0,  67.0,  45.2,  54.8,2020,   0.0,     158,  48.2,      34,  10.4,      97,  29.6,      66,  20.1,      78,  23.8,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Liberty,00400025,   0.0,  28.7,   2.2,   4.7,   3.0,   0.5,  60.8,  49.1,  50.9,2020,   0.0,     132,  36.2,      29,   7.9,      73,  20.0,      55,  15.1,      56,  15.3,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Mary E Flaherty School,00400020,   0.0,  26.5,   3.2,   5.5,   3.2,   0.0,  61.6,  52.6,  47.4,2020,   0.0,     117,  43.3,      26,   9.6,      67,  24.8,      51,  18.9,      51,  18.9,,,,,,,,,,,,,,,,,,,,,,,
Braintree - Monatiquot Kindergarten Center,00400009,   0.4,  26.3,   3.1,   4.7,   1.6,   0.0,  63.9,  43.9,  56.1,2020,   0.0,      63,  43.8,      23,  16.0,      43,  29.9,      36,  25.0,      23,  16.0,,,,,,,,,,,,,,,,,,,,,,,
Braintree - South Middle School,00400310,   0.3,  20.1,   4.2,   3.2,   0.6,   0.0,  71.6,  52.4,  47.5,2020,   0.1,     230,  35.7,       7,   1.1,      93,  14.4,      95,  14.7,     131,  20.3,,,,,,,,,,,,,,,,,,,,,,,
Brewster - Eddy Elementary,00410010,   0.0,   0.8,   2.8,   7.3,   5.3,   0.0,  83.7,  47.6,  52.4,2020,   0.0,      71,  34.0,       5,   2.4,       6,   2.9,      51,  24.4,      39,  18.7,,,,,,,,,,,,,,,,,,,,,,,
Brewster - Stony Brook Elementary,00410005,   0.0,   0.0,   0.9,  10.3,   6.7,   0.0,  82.1,  46.9,  53.1,2020,   0.0,     100,  47.4,      13,   6.2,      16,   7.6,      80,  37.9,      40,  19.0,,,,,,,,,,,,,,,,,,,,,,,
Bridge Boston Charter School (District) - Bridge Boston Charter School,04170205,   0.0,   0.9,  68.3,  26.0,   3.3,   0.3,   1.2,  52.1,  47.9,2020,   0.0,     282,  83.4,      93,  27.5,     152,  45.0,     232,  68.6,      74,  21.9,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Bridgewater Middle School,06250320,   0.2,   1.1,   6.8,   1.6,   7.0,   0.2,  83.1,  47.9,  52.1,2020,   0.0,     183,  33.2,      12,   2.2,      30,   5.4,     114,  20.7,      83,  15.1,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Bridgewater-Raynham Regional,06250505,   0.1,   2.2,   5.8,   1.4,   4.8,   0.1,  85.6,  50.4,  49.6,2020,   0.0,     391,  28.5,      25,   1.8,      67,   4.9,     277,  20.2,     167,  12.2,,,367,273,74.4,0,33.7,10.6,55.7,10.3,16.8,20.1,       373,    93.6,     3.8,     1.1,     0.0,     1.3,     0.3,     153,563,,568
Bridgewater-Raynham - Laliberte Elementary School,06250050,   0.0,   2.3,   8.0,   2.1,   3.2,   0.0,  84.4,  49.5,  50.5,2020,   0.0,     182,  34.1,      19,   3.6,      36,   6.7,     119,  22.3,      94,  17.6,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Merrill Elementary School,06250020,   0.0,   3.0,   4.8,   3.6,   4.8,   0.0,  83.6,  48.2,  51.8,2020,   0.0,      96,  32.1,       7,   2.3,      11,   3.7,      66,  22.1,      46,  15.4,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Mitchell Elementary School,06250002,   0.2,   2.7,   5.5,   4.7,   4.8,   0.2,  82.0,  45.4,  54.6,2020,   0.0,     375,  34.4,      58,   5.3,      85,   7.8,     222,  20.4,     180,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Raynham Middle School,06250315,   0.1,   3.1,   7.3,   0.9,   3.3,   0.0,  85.2,  47.6,  52.4,2020,   0.0,     214,  29.8,       9,   1.3,      34,   4.7,     141,  19.6,      99,  13.8,,,,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Therapeutic Day School,06250415,   0.0,   0.0,   7.1,   0.0,   0.0,   0.0,  92.9,  35.7,  64.3,2020,   0.0,      12, 100.0,       0,   0.0,       0,   0.0,       7,  58.3,      12, 100.0,,,1,,,,,,,,,,,,,,,,,,,,
Bridgewater-Raynham - Williams Intermediate School,06250300,   0.0,   1.8,   7.0,   2.0,   4.8,   0.0,  84.4,  49.1,  50.9,2020,   0.0,     254,  36.4,      19,   2.7,      44,   6.3,     133,  19.1,     145,  20.8,,,,,,,,,,,,,,,,,,,,,,,
Brimfield - Brimfield Elementary,00430005,   0.3,   1.0,   1.3,   3.7,   0.3,   0.0,  93.3,  51.5,  48.5,2020,   0.0,      97,  36.1,       3,   1.1,       3,   1.1,      64,  23.8,      42,  15.6,,,,,,,,,,,,,,,,,,,,,,,
Bristol County Agricultural - Bristol County Agricultural High,09100705,   0.0,   0.4,   1.6,   4.2,   1.3,   0.2,  92.2,  71.2,  28.4,2020,   0.4,     164,  36.6,       0,   0.0,       0,   0.0,     114,  25.4,      66,  14.7,,,94,46,48.9,0,26.1,45.7,28.3,45.7,4.3,6.5,       109,    95.4,     0.0,     0.0,     0.0,     4.6,     0.0,      23,552,,505
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,08100605,   0.6,   0.7,   2.9,   6.3,   3.8,   0.0,  85.7,  43.1,  56.8,2020,   0.1,     544,  41.2,       4,   0.3,      27,   2.0,     385,  29.2,     226,  17.1,,,284,110,38.7,0,28.2,32.7,39.1,32.7,13.6,17.3,       280,    97.1,     0.4,     1.4,     0.0,     1.1,     0.0,      57,544,,536
Brockton - Ashfield Middle School,00440421,   1.1,   3.9,  49.1,  12.5,   3.2,   0.4,  29.9,  50.0,  50.0,2020,   0.0,     409,  72.5,     105,  18.6,     210,  37.2,     330,  58.5,     114,  20.2,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Barrett Russell Early Childhood Center,00440008,   0.4,   0.8,  55.3,  18.6,   5.5,   0.4,  19.0,  43.9,  56.1,2020,   0.0,     134,  88.2,       4,   2.6,      27,  17.8,      95,  62.5,     119,  78.3,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Brockton Champion High School,00440515,   0.0,   0.0,  43.7,  24.3,   5.8,   1.0,  25.2,  38.8,  61.2,2020,   0.0,     127,  92.7,      24,  17.5,      41,  29.9,     108,  78.8,      77,  56.2,,,18,4,22.2,0,0,100,0,75,0,0,        43,    32.6,    60.5,     0.0,     2.3,     4.7,     0.0,,,,
Brockton - Brockton High,00440505,   0.4,   2.4,  63.3,  14.5,   3.8,   0.2,  15.4,  46.6,  53.4,2020,   0.0,"   2,947",  72.8,"   1,009",  24.9,"   2,049",  50.6,"   2,472",  61.1,     540,  13.3,,,737,376,51,0.3,27.9,29.5,40.7,29.5,13.8,24.7,       987,    85.8,     6.6,     1.6,     0.2,     5.8,     0.0,      46,523,,496
Brockton - Brookfield,00440010,   0.4,   1.3,  60.0,  10.1,   6.3,   0.2,  21.6,  49.7,  50.3,2020,   0.0,     376,  76.3,     169,  34.3,     208,  42.2,     307,  62.3,      87,  17.6,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Downey,00440110,   0.5,   1.2,  55.8,  18.2,   6.3,   0.5,  17.5,  44.6,  55.4,2020,   0.0,     510,  85.7,      95,  16.0,     148,  24.9,     448,  75.3,     189,  31.8,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Dr W Arnone Community School,00440001,   0.4,   0.4,  61.9,  19.8,   7.3,   0.0,  10.2,  42.5,  57.5,2020,   0.0,     590,  81.8,     126,  17.5,     222,  30.8,     500,  69.3,     176,  24.4,,,,,,,,,,,,,,,,,,,,,,,
Brockton - East Middle School,00440405,   0.4,   1.2,  67.9,  15.0,   3.7,   0.0,  11.8,  47.8,  52.2,2020,   0.0,     546,  85.7,     213,  33.4,     352,  55.3,     456,  71.6,     120,  18.8,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Edgar B Davis,00440023,   0.4,   0.5,  66.1,  14.8,   5.8,   0.4,  12.1,  50.0,  50.0,2020,   0.0,     822,  81.3,     245,  24.2,     460,  45.5,     721,  71.3,      82,   8.1,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Edison Academy,00440520,   0.0,   0.4,  69.9,  18.5,   2.8,   0.4,   8.0,  41.0,  59.0,2020,   0.0,     123,  92.5,      81,  60.9,      99,  74.4,     102,  76.7,      16,  12.0,,,197,12,6.1,0,8.3,83.3,8.3,83.3,8.3,0,       223,    67.3,    10.3,    10.3,     0.0,    12.1,     0.0,,,,
Brockton - Frederick Douglass Academy,00440080,   0.0,   0.0,  53.3,  33.3,   6.7,   0.0,   6.7,  46.7,  53.3,2020,   0.0,      14,  82.4,       4,  23.5,       6,  35.3,      13,  76.5,       7,  41.2,,,3,,,,,,,,,,         8,     0.0,    25.0,     0.0,    12.5,    62.5,     0.0,,,,
Brockton - Gilmore Elementary School,00440055,   0.5,   0.5,  82.5,  11.7,   3.2,   0.0,   1.6,  50.8,  49.2,2020,   0.0,     390,  85.3,     208,  45.5,     274,  60.0,     342,  74.8,      34,   7.4,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Hancock,00440045,   0.2,   3.1,  49.6,  12.8,   6.8,   0.4,  27.1,  53.3,  46.7,2020,   0.0,     320,  63.0,      65,  12.8,     109,  21.5,     273,  53.7,      47,   9.3,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Huntington Therapeutic Day School,00440400,   1.6,   1.6,  46.9,  20.3,   4.7,   0.0,  25.0,  32.8,  67.2,2020,   0.0,      64, 100.0,       8,  12.5,      20,  31.3,      57,  89.1,      64, 100.0,,,10,,,,,,,,,,        11,    27.3,    27.3,    18.2,     0.0,    27.3,     0.0,,,,
Brockton - John F Kennedy,00440017,   0.0,   3.0,  60.7,   8.8,   5.9,   0.3,  21.2,  50.3,  49.7,2020,   0.0,     381,  70.3,     165,  30.4,     215,  39.7,     300,  55.4,      58,  10.7,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Joseph F. Plouffe Academy,00440422,   0.4,   3.5,  41.3,  30.1,   4.6,   0.0,  20.1,  50.7,  49.3,2020,   0.0,     488,  66.3,     108,  14.7,     286,  38.9,     415,  56.4,     120,  16.3,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Louis F Angelo Elementary,00440065,   0.3,   5.3,  56.1,  13.7,   3.7,   0.1,  20.7,  47.0,  53.0,2020,   0.0,     635,  80.4,     235,  29.7,     324,  41.0,     539,  68.2,     151,  19.1,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Manthala George Jr. School,00440003,   0.3,   0.3,  42.5,  44.7,   2.8,   0.1,   9.3,  48.4,  51.6,2020,   0.0,     757,  83.3,     408,  44.9,     545,  60.0,     646,  71.1,      78,   8.6,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Mary E. Baker School,00440002,   0.1,   1.6,  48.8,  16.2,   5.2,   0.3,  27.7,  47.2,  52.8,2020,   0.0,     441,  70.8,     119,  19.1,     193,  31.0,     351,  56.3,     126,  20.2,,,,,,,,,,,,,,,,,,,,,,,
Brockton - North Middle School,00440410,   0.6,   2.4,  66.7,  17.3,   3.6,   0.0,   9.5,  39.3,  60.7,2020,   0.0,     174,  87.0,      28,  14.0,      92,  46.0,     161,  80.5,      31,  15.5,,,,,,,,,,,,,,,,,,,,,,,
Brockton - Oscar F Raymond,00440078,   0.1,   0.9,  79.3,  10.9,   2.7,   0.1,   6.0,  46.8,  53.2,2020,   0.0,     723,  90.5,     297,  37.2,     425,  53.2,     627,  78.5,     112,  14.0,,,,,,,,,,,,,,,,,,,,,,,
Brockton - South Middle School,00440415,   0.0,   1.2,  64.8,  16.1,   4.7,   0.0,  13.3,  43.9,  56.1,2020,   0.0,     478,  83.1,     185,  32.2,     297,  51.7,     396,  68.9,     110,  19.1,,,,,,,,,,,,,,,,,,,,,,,
Brockton - West Middle School,00440420,   0.6,   3.2,  60.1,  12.4,   3.7,   0.1,  19.9,  46.2,  53.8,2020,   0.0,     514,  76.1,      75,  11.1,     267,  39.6,     422,  62.5,     135,  20.0,,,,,,,,,,,,,,,,,,,,,,,
Brooke Charter School (District) - Brooke Charter School,04280305,   0.2,   1.8,  54.0,  38.0,   1.9,   0.0,   4.2,  53.1,  46.9,2020,   0.0,"   1,357",  66.1,     143,   7.0,     707,  34.4,"   1,116",  54.4,     229,  11.2,,,34,28,82.4,0,39.3,14.3,46.4,14.3,7.1,39.3,        62,    87.1,     1.6,     0.0,     0.0,    11.3,     0.0,      47,499,,545
Brookfield - Brookfield Elementary,00450005,   0.0,   0.0,   0.3,   5.2,   4.6,   0.0,  89.9,  46.6,  53.4,2020,   0.0,      96,  36.1,       1,   0.4,       2,   0.8,      77,  28.9,      32,  12.0,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Brookline Early Education Program at Beacon,00460001,   0.0,  31.3,   2.1,   4.2,  14.6,   0.0,  47.9,  41.7,  58.3,2020,   0.0,      11,  42.3,       3,  11.5,       7,  26.9,       2,   7.7,       6,  23.1,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Brookline Early Education Program at Clark Road,00460003,   0.0,  29.4,   5.9,  11.8,   5.9,   0.0,  47.1,  47.1,  52.9,2020,   0.0,      13,  41.9,       4,  12.9,       6,  19.4,       3,   9.7,      10,  32.3,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Brookline Early Education Program at Putterham,00460002,   0.0,  26.8,   3.6,   8.9,   7.1,   0.0,  53.6,  48.2,  51.8,2020,   0.0,      10,  35.7,       1,   3.6,       5,  17.9,       3,  10.7,      10,  35.7,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Brookline High,00460505,   0.0,  16.4,   7.9,  11.4,   9.8,   0.1,  54.4,  48.7,  50.9,2020,   0.4,     626,  30.8,      39,   1.9,     522,  25.7,     266,  13.1,     372,  18.3,,,486,328,67.5,0,63.1,5.5,31.4,4.9,3.7,11.3,       480,    95.2,     3.1,     0.0,     0.8,     0.8,     0.0,     533,639,,652
Brookline - Coolidge Corner School,00460015,   0.0,  14.9,   5.3,  12.1,  10.2,   0.0,  57.5,  49.2,  50.6,2020,   0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Edith C Baker,00460005,   0.1,  30.7,   5.5,   8.5,   7.9,   0.0,  47.3,  49.5,  50.5,2020,   0.0,     257,  39.5,      87,  13.4,     233,  35.8,      48,   7.4,     107,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Heath,00460025,   0.0,  17.2,   4.2,   8.3,  10.9,   0.0,  59.4,  49.8,  50.2,2020,   0.0,     105,  22.0,      20,   4.2,      80,  16.8,      26,   5.5,      52,  10.9,,,,,,,,,,,,,,,,,,,,,,,
Brookline - John D Runkle,00460045,   0.0,  15.4,   3.2,  12.0,  11.4,   0.0,  58.0,  47.5,  52.5,2020,   0.0,     175,  34.7,      53,  10.5,     132,  26.2,      44,   8.7,     110,  21.8,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Lawrence,00460030,   0.0,  31.1,   4.9,   9.6,   8.8,   0.3,  45.4,  47.9,  52.1,2020,   0.0,     250,  42.4,     119,  20.2,     223,  37.8,      54,   9.2,      80,  13.6,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Michael Driscoll,00460020,   0.0,  19.2,   3.8,   7.3,  13.8,   0.0,  55.8,  47.3,  52.7,2020,   0.0,     151,  30.7,      47,   9.6,     128,  26.0,      30,   6.1,      72,  14.6,,,,,,,,,,,,,,,,,,,,,,,
Brookline - Pierce,00460040,   0.0,  25.8,   4.3,  10.0,  10.2,   0.0,  49.8,  50.8,  49.0,2020,   0.1,     216,  30.5,      83,  11.7,     199,  28.1,      66,   9.3,      73,  10.3,,,,,,,,,,,,,,,,,,,,,,,
Brookline - The Lynch Center,00460060,   0.0,  19.3,  15.8,   8.8,  17.5,   0.0,  38.6,  42.1,  57.9,2020,   0.0,      14,  46.7,       5,  16.7,      12,  40.0,       8,  26.7,       7,  23.3,,,,,,,,,,,,,,,,,,,,,,,
Brookline - William H Lincoln,00460035,   0.2,  22.6,  10.8,  10.4,   7.3,   0.0,  48.8,  52.4,  47.6,2020,   0.0,     247,  48.1,      76,  14.8,     166,  32.4,      78,  15.2,     107,  20.9,,,,,,,,,,,,,,,,,,,,,,,
Burlington - Burlington High,00480505,   0.5,  15.4,   6.7,   7.2,   3.7,   0.0,  66.5,  46.8,  53.2,2020,   0.0,     226,  23.4,      37,   3.8,     185,  19.2,     140,  14.5,      83,   8.6,,,240,192,80,0,35.9,13.5,50.5,12.5,5.7,28.6,       257,    96.9,     0.8,     1.2,     0.0,     1.2,     0.0,     293,540,,534
Burlington - Fox Hill,00480007,   0.0,  22.0,   6.7,   6.1,   3.4,   0.0,  61.9,  48.9,  51.1,2020,   0.0,     142,  32.1,      28,   6.3,      86,  19.4,      74,  16.7,      57,  12.9,,,,,,,,,,,,,,,,,,,,,,,
Burlington - Francis Wyman Elementary,00480035,   0.2,  18.0,  10.5,   8.1,   4.7,   0.0,  58.6,  48.9,  51.1,2020,   0.0,     179,  34.7,      38,   7.4,     112,  21.7,      90,  17.4,      82,  15.9,,,,,,,,,,,,,,,,,,,,,,,
Burlington - Marshall Simonds Middle,00480303,   0.1,  17.1,   5.8,   5.8,   3.2,   0.0,  67.8,  52.1,  47.9,2020,   0.0,     201,  26.8,      11,   1.5,     148,  19.7,     100,  13.3,      92,  12.3,,,,,,,,,,,,,,,,,,,,,,,
Burlington - Memorial,00480015,   0.3,  18.8,   3.6,   9.2,   5.6,   0.0,  62.6,  49.1,  50.9,2020,   0.0,     128,  31.9,      28,   7.0,      95,  23.7,      70,  17.5,      42,  10.5,,,,,,,,,,,,,,,,,,,,,,,
Burlington - Pine Glen Elementary,00480020,   0.0,  17.5,   3.4,   5.6,   6.3,   0.0,  67.2,  46.9,  53.1,2020,   0.0,     113,  36.3,      29,   9.3,      66,  21.2,      41,  13.2,      54,  17.4,,,,,,,,,,,,,,,,,,,,,,,
