School Name,School Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,year,Nonbinary,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Economically Disadvantaged#,Economically Disadvantaged%,Students with Disabilities#,Students with Disabilities%,Low Income#,Low Income%,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,Tests Taken,Reading / Writing,Writing,Math
Arlington - Thompson,00100050,   0.6,  16.1,   5.4,  10.7,   4.9,   0.2,  62.0,  48.1,  51.9,2017,,     155,  31.7,      58,  11.9,      72,  14.7,      79,  16.2,      59,  12.1,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster - Briggs Elementary,06100025,   0.0,   0.4,   0.2,   5.8,   1.3,   0.0,  92.4,  47.9,  52.1,2017,,     192,  34.7,      18,   3.3,      22,   4.0,      95,  17.2,     118,  21.3,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster - Meetinghouse School,06100010,   0.0,   0.0,   1.3,   4.4,   0.6,   0.0,  93.8,  45.6,  54.4,2017,,      39,  24.1,       5,   3.1,       6,   3.7,      25,  15.4,      15,   9.3,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster - Oakmont Regional High School,06100505,   0.0,   1.0,   0.6,   2.3,   1.7,   0.0,  94.4,  50.1,  49.9,2017,,     178,  24.8,       7,   1.0,      15,   2.1,     100,  13.9,     106,  14.7,,,175,150,85.7,0,26,18.7,55.3,17.3,38,10.7,       173,    94.2,     3.5,     0.0,     0.6,     1.7,     0.0,     209,549,,547
Ashburnham-Westminster - Overlook Middle School,06100305,   0.0,   0.9,   0.0,   3.3,   1.2,   0.0,  94.6,  50.9,  49.1,2017,,     182,  31.8,       6,   1.0,      23,   4.0,      91,  15.9,     103,  18.0,,,,,,,,,,,,,,,,,,,,,,,
Ashburnham-Westminster - Westminster Elementary,06100005,   0.3,   0.3,   1.6,   7.0,   2.4,   0.0,  88.4,  47.3,  52.7,2017,,     116,  30.8,       9,   2.4,      14,   3.7,      60,  15.9,      66,  17.5,,,,,,,,,,,,,,,,,,,,,,,
Ashland - Ashland High,00140505,   0.3,   9.0,   2.0,   9.4,   2.2,   0.0,  77.2,  51.2,  48.8,2017,,     183,  23.8,      18,   2.3,     111,  14.4,      97,  12.6,      96,  12.5,,,178,152,85.4,0,35.5,9.2,55.3,8.6,15.1,17.1,       188,    96.3,     1.6,     0.0,     0.5,     1.6,     0.0,     211,581,,605
Ashland - Ashland Middle,00140405,   0.3,  12.1,   2.4,  11.2,   2.9,   0.0,  71.0,  51.3,  48.7,2017,,     195,  32.4,      16,   2.7,     141,  23.5,      86,  14.3,     111,  18.5,,,,,,,,,,,,,,,,,,,,,,,
Ashland - David Mindess,00140015,   1.0,  13.5,   2.1,   9.5,   3.4,   0.0,  70.5,  49.4,  50.6,2017,,     208,  32.1,      44,   6.8,     170,  26.3,      92,  14.2,     104,  16.1,,,,,,,,,,,,,,,,,,,,,,,
Ashland - Henry E Warren Elementary,00140010,   0.6,  14.1,   1.8,  10.7,   3.6,   0.2,  69.1,  50.2,  49.8,2017,,     173,  28.3,      40,   6.5,     102,  16.7,      75,  12.3,      87,  14.2,,,,,,,,,,,,,,,,,,,,,,,
Ashland - William Pittaway Elementary,00140005,   0.0,  17.6,   1.5,   3.8,   3.8,   0.0,  73.3,  48.1,  51.9,2017,,      41,  32.3,       0,   0.0,      29,  22.8,      14,  11.0,      35,  27.6,,,,,,,,,,,,,,,,,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,   0.5,   0.7,   0.9,  14.6,   2.3,   0.0,  81.1,  42.4,  57.6,2017,,     540,  48.5,      32,   2.9,     168,  15.1,     275,  24.7,     327,  29.4,,,247,122,49.4,0,22.1,32.8,45.1,32,28.7,10.7,       264,    98.1,     0.8,     0.0,     0.0,     1.1,     0.0,     172,513,,498
Athol-Royalston - Athol Community Elementary School,06150020,   0.2,   1.2,   0.7,   9.9,   3.1,   0.2,  84.7,  49.7,  50.3,2017,,     404,  67.1,      15,   2.5,      19,   3.2,     341,  56.6,     170,  28.2,,,,,,,,,,,,,,,,,,,,,,,
Athol-Royalston - Athol High,06150505,   0.0,   0.8,   2.8,   5.6,   1.1,   0.0,  89.7,  45.8,  54.2,2017,,     213,  57.9,       6,   1.6,       9,   2.4,     173,  47.0,      93,  25.3,,,86,46,53.5,0,23.9,50,26.1,50,17.4,4.3,        81,    75.3,    11.1,     2.5,     2.5,     8.6,     0.0,      35,531,,515
Athol-Royalston - Athol-Royalston Middle School,06150305,   0.3,   0.0,   1.8,   9.3,   3.4,   0.0,  85.3,  47.3,  52.7,2017,,     244,  62.4,      17,   4.3,      26,   6.6,     195,  49.9,     108,  27.6,,,,,,,,,,,,,,,,,,,,,,,
Athol-Royalston - Royalston Community School,06150050,   0.0,   0.7,   2.1,   2.8,   0.7,   0.0,  93.8,  50.7,  49.3,2017,,      64,  46.0,       1,   0.7,       1,   0.7,      52,  37.4,      23,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Atlantis Charter (District) - Atlantis Charter School,04910550,   0.1,   1.9,   4.7,   9.9,   3.4,   0.0,  80.0,  53.3,  46.7,2017,,     659,  54.4,     112,   9.2,     229,  18.9,     526,  43.4,     145,  12.0,,,38,32,84.2,0,15.6,40.6,43.8,40.6,12.5,28.1,,,,,,,,      50,523,,494
Attleboro - A. Irvin Studley Elementary School,00160001,   0.2,   1.8,   3.9,  27.9,   6.8,   0.2,  59.2,  47.4,  52.6,2017,,     202,  52.6,      49,  12.8,      68,  17.7,     145,  37.8,      70,  18.2,,,,,,,,,,,,,,,,,,,,,,,
Attleboro - Attleboro Community Academy,00160515,   1.6,   1.6,   1.6,  11.1,   7.9,   0.0,  76.2,  46.0,  54.0,2017,,      34,  55.7,       1,   1.6,       8,  13.1,      34,  55.7,       2,   3.3,,,50,7,14,0,0,85.7,14.3,85.7,0,14.3,        32,    46.9,    28.1,     3.1,     3.1,    18.8,     0.0,       2,,,
Attleboro - Attleboro High,00160505,   0.3,   4.1,   5.5,  12.5,   3.8,   0.2,  73.6,  45.8,  54.2,2017,,     640,  37.6,      52,   3.1,     182,  10.7,     472,  27.7,     245,  14.4,,,365,250,68.5,0,38.8,20.4,40,18.4,12.4,15.2,       387,    93.3,     2.3,     0.5,     0.0,     3.9,     0.0,     378,556,,547
Attleboro - Cyril K. Brennan Middle School,00160315,   0.4,   4.9,   4.2,  18.1,   7.2,   0.4,  64.9,  46.7,  53.3,2017,,     285,  49.0,      30,   5.2,      95,  16.3,     205,  35.2,      87,  14.9,,,,,,,,,,,,,,,,,,,,,,,
Attleboro - Early Learning Center,00160008,   0.0,   3.7,   3.7,  10.7,   5.9,   0.0,  75.9,  38.5,  61.5,2017,,     119,  64.7,       0,   0.0,      24,  13.0,      69,  37.5,      90,  48.9,,,,,,,,,,,,,,,,,,,,,,,
